3:Start of One Benchmark
58:Start of One Benchmark
371:Start of One Benchmark
390:Start of One Benchmark
2008:Memsweep time in seconds: 5.130
2010:Memsweep time in seconds: 5.120
2012:Memsweep time in seconds: 5.110
2014:Memsweep time in seconds: 5.110
2016:Memsweep time in seconds: 5.170
2018:Memsweep time in seconds: 5.160
2020:Memsweep time in seconds: 5.170
2023:Start of One Benchmark
2078:Start of One Benchmark
2391:Start of One Benchmark
2410:Start of One Benchmark
2412:Memsweep time in seconds: 5.290
2414:Memsweep time in seconds: 5.320
2416:Memsweep time in seconds: 5.250
2418:Memsweep time in seconds: 5.300
2420:Memsweep time in seconds: 5.300
2422:Memsweep time in seconds: 5.270
2424:Memsweep time in seconds: 5.270
2426:Memsweep time in seconds: 5.360
2428:Memsweep time in seconds: 5.340
2430:Memsweep time in seconds: 5.300
2432:Memsweep time in seconds: 5.260
2434:Memsweep time in seconds: 5.270
2436:Memsweep time in seconds: 5.320
2438:Memsweep time in seconds: 5.280
2440:Memsweep time in seconds: 5.290
2442:Memsweep time in seconds: 5.290
2444:Memsweep time in seconds: 5.280
2446:Memsweep time in seconds: 5.260
2448:Memsweep time in seconds: 5.320
2450:Memsweep time in seconds: 5.280
2452:Memsweep time in seconds: 5.280
2454:Memsweep time in seconds: 5.240
2456:Memsweep time in seconds: 5.260
2458:Memsweep time in seconds: 5.300
2460:Memsweep time in seconds: 5.290
2462:Memsweep time in seconds: 5.250
2464:Memsweep time in seconds: 5.260
2466:Memsweep time in seconds: 5.290
2468:Memsweep time in seconds: 5.320
2470:Memsweep time in seconds: 5.290
2472:Memsweep time in seconds: 5.320
2474:Memsweep time in seconds: 5.320
2476:Memsweep time in seconds: 5.290
2478:Memsweep time in seconds: 5.240
2480:Memsweep time in seconds: 5.240
2482:Memsweep time in seconds: 5.220
2484:Memsweep time in seconds: 5.250
2486:Memsweep time in seconds: 5.240
2488:Memsweep time in seconds: 5.240
2490:Memsweep time in seconds: 5.330
2492:Memsweep time in seconds: 5.280
2494:Memsweep time in seconds: 5.230
2496:Memsweep time in seconds: 5.220
2498:Memsweep time in seconds: 5.260
2500:Memsweep time in seconds: 5.260
2502:Memsweep time in seconds: 5.270
2504:Memsweep time in seconds: 5.240
2506:Memsweep time in seconds: 5.290
2508:Memsweep time in seconds: 5.290
2510:Memsweep time in seconds: 5.340
2512:Memsweep time in seconds: 5.240
2514:Memsweep time in seconds: 5.220
2516:Memsweep time in seconds: 5.270
2518:Memsweep time in seconds: 5.210
2520:Memsweep time in seconds: 5.220
2522:Memsweep time in seconds: 5.190
2524:Memsweep time in seconds: 5.250
2527:Start of One Benchmark
2582:Start of One Benchmark
2895:Start of One Benchmark
2912:Start of One Benchmark
2914:Memsweep time in seconds: 5.140
2916:Memsweep time in seconds: 5.130
2918:Memsweep time in seconds: 5.090
2920:Memsweep time in seconds: 5.170
2922:Memsweep time in seconds: 5.160
2924:Memsweep time in seconds: 5.110
2926:Memsweep time in seconds: 5.120
2928:Memsweep time in seconds: 5.120
2930:Memsweep time in seconds: 5.150
2932:Memsweep time in seconds: 5.150
2934:Memsweep time in seconds: 5.170
2936:Memsweep time in seconds: 5.140
2938:Memsweep time in seconds: 5.170
2940:Memsweep time in seconds: 5.120
2942:Memsweep time in seconds: 5.120
2944:Memsweep time in seconds: 5.110
2946:Memsweep time in seconds: 5.110
2948:Memsweep time in seconds: 5.180
2950:Memsweep time in seconds: 5.180
2952:Memsweep time in seconds: 5.140
2954:Memsweep time in seconds: 5.140
2956:Memsweep time in seconds: 5.120
2958:Memsweep time in seconds: 5.170
2960:Memsweep time in seconds: 5.140
2962:Memsweep time in seconds: 5.140
2964:Memsweep time in seconds: 5.130
2966:Memsweep time in seconds: 5.130
2968:Memsweep time in seconds: 5.130
2970:Memsweep time in seconds: 5.180
2972:Memsweep time in seconds: 5.140
2974:Memsweep time in seconds: 5.100
2976:Memsweep time in seconds: 5.130
2978:Memsweep time in seconds: 5.100
2980:Memsweep time in seconds: 5.150
2982:Memsweep time in seconds: 5.150
2984:Memsweep time in seconds: 5.190
2986:Memsweep time in seconds: 5.160
2988:Memsweep time in seconds: 5.160
2990:Memsweep time in seconds: 5.200
2992:Memsweep time in seconds: 5.200
2994:Memsweep time in seconds: 5.170
2996:Memsweep time in seconds: 5.150
2998:Memsweep time in seconds: 5.130
3000:Memsweep time in seconds: 5.140
3002:Memsweep time in seconds: 5.170
3004:Memsweep time in seconds: 5.150
3006:Memsweep time in seconds: 5.150
3008:Memsweep time in seconds: 5.230
3010:Memsweep time in seconds: 5.130
3012:Memsweep time in seconds: 5.130
3014:Memsweep time in seconds: 5.100
3016:Memsweep time in seconds: 5.140
3018:Memsweep time in seconds: 5.180
3020:Memsweep time in seconds: 5.170
3022:Memsweep time in seconds: 5.150
3024:Memsweep time in seconds: 5.150
3026:Memsweep time in seconds: 5.140
3028:Memsweep time in seconds: 5.150
3030:Memsweep time in seconds: 5.150
3033:Start of One Benchmark
3088:Start of One Benchmark
3401:Start of One Benchmark
3418:Start of One Benchmark
3420:Memsweep time in seconds: 5.270
3422:Memsweep time in seconds: 5.300
3424:Memsweep time in seconds: 5.260
3426:Memsweep time in seconds: 5.260
3428:Memsweep time in seconds: 5.260
3430:Memsweep time in seconds: 5.260
3432:Memsweep time in seconds: 5.250
3434:Memsweep time in seconds: 5.280
3436:Memsweep time in seconds: 5.250
3438:Memsweep time in seconds: 5.280
3440:Memsweep time in seconds: 5.250
3442:Memsweep time in seconds: 5.220
3444:Memsweep time in seconds: 5.270
3446:Memsweep time in seconds: 5.320
3448:Memsweep time in seconds: 5.300
3450:Memsweep time in seconds: 5.280
3452:Memsweep time in seconds: 5.280
3454:Memsweep time in seconds: 5.300
3456:Memsweep time in seconds: 5.300
3458:Memsweep time in seconds: 5.300
3460:Memsweep time in seconds: 5.290
3462:Memsweep time in seconds: 5.300
3464:Memsweep time in seconds: 5.270
3466:Memsweep time in seconds: 5.290
3468:Memsweep time in seconds: 5.300
3470:Memsweep time in seconds: 5.290
3472:Memsweep time in seconds: 5.280
3474:Memsweep time in seconds: 5.310
3476:Memsweep time in seconds: 5.320
3478:Memsweep time in seconds: 5.280
3480:Memsweep time in seconds: 5.270
3482:Memsweep time in seconds: 5.300
3484:Memsweep time in seconds: 5.220
3486:Memsweep time in seconds: 5.230
3488:Memsweep time in seconds: 5.220
3490:Memsweep time in seconds: 5.260
3492:Memsweep time in seconds: 5.290
3494:Memsweep time in seconds: 5.260
3496:Memsweep time in seconds: 5.270
3498:Memsweep time in seconds: 5.260
3500:Memsweep time in seconds: 5.270
3502:Memsweep time in seconds: 5.330
3504:Memsweep time in seconds: 5.270
3506:Memsweep time in seconds: 5.280
3508:Memsweep time in seconds: 5.250
3510:Memsweep time in seconds: 5.220
3512:Memsweep time in seconds: 5.210
3514:Memsweep time in seconds: 5.260
3516:Memsweep time in seconds: 5.230
3518:Memsweep time in seconds: 5.290
3520:Memsweep time in seconds: 5.270
3522:Memsweep time in seconds: 5.300
3524:Memsweep time in seconds: 5.270
3526:Memsweep time in seconds: 5.320
3528:Memsweep time in seconds: 5.250
3530:Memsweep time in seconds: 5.300
3532:Memsweep time in seconds: 5.280
3535:Start of One Benchmark
3590:Start of One Benchmark
3903:Start of One Benchmark
3922:Start of One Benchmark
3924:Memsweep time in seconds: 5.260
3926:Memsweep time in seconds: 5.280
3928:Memsweep time in seconds: 5.230
3930:Memsweep time in seconds: 5.230
3932:Memsweep time in seconds: 5.270
3934:Memsweep time in seconds: 5.260
3936:Memsweep time in seconds: 5.270
3938:Memsweep time in seconds: 5.260
3940:Memsweep time in seconds: 5.240
3942:Memsweep time in seconds: 5.240
3944:Memsweep time in seconds: 5.250
3946:Memsweep time in seconds: 5.270
3948:Memsweep time in seconds: 5.320
3950:Memsweep time in seconds: 5.310
3952:Memsweep time in seconds: 5.300
3954:Memsweep time in seconds: 5.290
3956:Memsweep time in seconds: 5.270
3958:Memsweep time in seconds: 5.290
3960:Memsweep time in seconds: 5.320
3962:Memsweep time in seconds: 5.320
3964:Memsweep time in seconds: 5.260
3966:Memsweep time in seconds: 5.270
3968:Memsweep time in seconds: 5.290
3970:Memsweep time in seconds: 5.310
3972:Memsweep time in seconds: 5.270
3974:Memsweep time in seconds: 5.310
3976:Memsweep time in seconds: 5.290
3978:Memsweep time in seconds: 5.230
3980:Memsweep time in seconds: 5.240
3982:Memsweep time in seconds: 5.250
3984:Memsweep time in seconds: 5.250
3986:Memsweep time in seconds: 5.240
3988:Memsweep time in seconds: 5.250
3990:Memsweep time in seconds: 5.290
3992:Memsweep time in seconds: 5.330
3994:Memsweep time in seconds: 5.310
3996:Memsweep time in seconds: 5.330
3998:Memsweep time in seconds: 5.300
4000:Memsweep time in seconds: 5.310
4002:Memsweep time in seconds: 5.320
4004:Memsweep time in seconds: 5.300
4006:Memsweep time in seconds: 5.350
4008:Memsweep time in seconds: 5.300
4010:Memsweep time in seconds: 5.320
4012:Memsweep time in seconds: 5.340
4014:Memsweep time in seconds: 5.310
4016:Memsweep time in seconds: 5.330
4018:Memsweep time in seconds: 5.280
4020:Memsweep time in seconds: 5.290
4022:Memsweep time in seconds: 5.320
4024:Memsweep time in seconds: 5.300
4026:Memsweep time in seconds: 5.310
4028:Memsweep time in seconds: 5.250
4030:Memsweep time in seconds: 5.270
4032:Memsweep time in seconds: 5.300
4034:Memsweep time in seconds: 5.310
4036:Memsweep time in seconds: 5.310
4039:Start of One Benchmark
4094:Start of One Benchmark
4407:Start of One Benchmark
4426:Start of One Benchmark
4428:Memsweep time in seconds: 5.150
4430:Memsweep time in seconds: 5.150
4432:Memsweep time in seconds: 5.180
4434:Memsweep time in seconds: 5.200
4436:Memsweep time in seconds: 5.200
4438:Memsweep time in seconds: 5.170
4440:Memsweep time in seconds: 5.160
4442:Memsweep time in seconds: 5.140
4444:Memsweep time in seconds: 5.140
4446:Memsweep time in seconds: 5.150
4448:Memsweep time in seconds: 5.170
4450:Memsweep time in seconds: 5.140
4452:Memsweep time in seconds: 5.150
4454:Memsweep time in seconds: 5.180
4456:Memsweep time in seconds: 5.200
4458:Memsweep time in seconds: 5.200
4460:Memsweep time in seconds: 5.160
4462:Memsweep time in seconds: 5.140
4464:Memsweep time in seconds: 5.120
4466:Memsweep time in seconds: 5.130
4468:Memsweep time in seconds: 5.130
4470:Memsweep time in seconds: 5.160
4472:Memsweep time in seconds: 5.110
4474:Memsweep time in seconds: 5.160
4476:Memsweep time in seconds: 5.130
4478:Memsweep time in seconds: 5.170
4480:Memsweep time in seconds: 5.190
4482:Memsweep time in seconds: 5.150
4484:Memsweep time in seconds: 5.130
4486:Memsweep time in seconds: 5.140
4488:Memsweep time in seconds: 5.140
4490:Memsweep time in seconds: 5.200
4492:Memsweep time in seconds: 5.170
4494:Memsweep time in seconds: 5.180
4496:Memsweep time in seconds: 5.210
4498:Memsweep time in seconds: 5.190
4500:Memsweep time in seconds: 5.190
4502:Memsweep time in seconds: 5.230
4504:Memsweep time in seconds: 5.180
4506:Memsweep time in seconds: 5.170
4508:Memsweep time in seconds: 5.160
4510:Memsweep time in seconds: 5.190
4512:Memsweep time in seconds: 5.160
4514:Memsweep time in seconds: 5.170
4516:Memsweep time in seconds: 5.150
4518:Memsweep time in seconds: 5.190
4520:Memsweep time in seconds: 5.160
4522:Memsweep time in seconds: 5.170
4524:Memsweep time in seconds: 5.130
4526:Memsweep time in seconds: 5.140
4528:Memsweep time in seconds: 5.160
4530:Memsweep time in seconds: 5.180
4532:Memsweep time in seconds: 5.150
4534:Memsweep time in seconds: 5.130
4536:Memsweep time in seconds: 5.160
4538:Memsweep time in seconds: 5.140
4540:Memsweep time in seconds: 5.170
4542:Memsweep time in seconds: 5.180
4544:Memsweep time in seconds: 5.130
4547:Start of One Benchmark
4602:Start of One Benchmark
4915:Start of One Benchmark
4932:Start of One Benchmark
4934:Memsweep time in seconds: 5.190
4936:Memsweep time in seconds: 5.150
4938:Memsweep time in seconds: 5.140
4940:Memsweep time in seconds: 5.200
4942:Memsweep time in seconds: 5.200
4944:Memsweep time in seconds: 5.170
4946:Memsweep time in seconds: 5.130
4948:Memsweep time in seconds: 5.120
4950:Memsweep time in seconds: 5.180
4952:Memsweep time in seconds: 5.160
4954:Memsweep time in seconds: 5.180
4956:Memsweep time in seconds: 5.190
4958:Memsweep time in seconds: 5.190
4960:Memsweep time in seconds: 5.190
4962:Memsweep time in seconds: 5.170
4964:Memsweep time in seconds: 5.170
4966:Memsweep time in seconds: 5.170
4968:Memsweep time in seconds: 5.140
4970:Memsweep time in seconds: 5.180
4972:Memsweep time in seconds: 5.190
4974:Memsweep time in seconds: 5.160
4976:Memsweep time in seconds: 5.220
4978:Memsweep time in seconds: 5.150
4980:Memsweep time in seconds: 5.150
4982:Memsweep time in seconds: 5.150
4984:Memsweep time in seconds: 5.170
4986:Memsweep time in seconds: 5.200
4988:Memsweep time in seconds: 5.190
4990:Memsweep time in seconds: 5.160
4992:Memsweep time in seconds: 5.180
4994:Memsweep time in seconds: 5.150
4996:Memsweep time in seconds: 5.170
4998:Memsweep time in seconds: 5.160
5000:Memsweep time in seconds: 5.160
5002:Memsweep time in seconds: 5.160
5004:Memsweep time in seconds: 5.180
5006:Memsweep time in seconds: 5.140
5008:Memsweep time in seconds: 5.190
5010:Memsweep time in seconds: 5.160
5012:Memsweep time in seconds: 5.150
5014:Memsweep time in seconds: 5.180
5016:Memsweep time in seconds: 5.170
5018:Memsweep time in seconds: 5.150
5020:Memsweep time in seconds: 5.160
5022:Memsweep time in seconds: 5.160
5024:Memsweep time in seconds: 5.180
5026:Memsweep time in seconds: 5.180
5028:Memsweep time in seconds: 5.140
5030:Memsweep time in seconds: 5.180
5032:Memsweep time in seconds: 5.130
5034:Memsweep time in seconds: 5.160
5036:Memsweep time in seconds: 5.140
5038:Memsweep time in seconds: 5.130
5040:Memsweep time in seconds: 5.170
5042:Memsweep time in seconds: 5.180
5044:Memsweep time in seconds: 5.150
5046:Memsweep time in seconds: 5.170
5048:Memsweep time in seconds: 5.150
5051:Start of One Benchmark
5106:Start of One Benchmark
5419:Start of One Benchmark
5440:Start of One Benchmark
5442:Memsweep time in seconds: 5.200
5444:Memsweep time in seconds: 5.220
5446:Memsweep time in seconds: 5.200
5448:Memsweep time in seconds: 5.170
5450:Memsweep time in seconds: 5.180
5452:Memsweep time in seconds: 5.140
5454:Memsweep time in seconds: 5.170
5456:Memsweep time in seconds: 5.130
5458:Memsweep time in seconds: 5.090
5460:Memsweep time in seconds: 5.110
5462:Memsweep time in seconds: 5.140
5464:Memsweep time in seconds: 5.140
5466:Memsweep time in seconds: 5.170
5468:Memsweep time in seconds: 5.180
5470:Memsweep time in seconds: 5.190
5472:Memsweep time in seconds: 5.170
5474:Memsweep time in seconds: 5.150
5476:Memsweep time in seconds: 5.170
5478:Memsweep time in seconds: 5.180
5480:Memsweep time in seconds: 5.190
5482:Memsweep time in seconds: 5.170
5484:Memsweep time in seconds: 5.200
5486:Memsweep time in seconds: 5.220
5488:Memsweep time in seconds: 5.200
5490:Memsweep time in seconds: 5.180
5492:Memsweep time in seconds: 5.190
5494:Memsweep time in seconds: 5.210
5496:Memsweep time in seconds: 5.180
5498:Memsweep time in seconds: 5.180
5500:Memsweep time in seconds: 5.190
5502:Memsweep time in seconds: 5.160
5504:Memsweep time in seconds: 5.140
5506:Memsweep time in seconds: 5.150
5508:Memsweep time in seconds: 5.130
5510:Memsweep time in seconds: 5.120
5512:Memsweep time in seconds: 5.140
5514:Memsweep time in seconds: 5.170
5516:Memsweep time in seconds: 5.160
5518:Memsweep time in seconds: 5.180
5520:Memsweep time in seconds: 5.150
5522:Memsweep time in seconds: 5.190
5524:Memsweep time in seconds: 5.200
5526:Memsweep time in seconds: 5.220
5528:Memsweep time in seconds: 5.190
5530:Memsweep time in seconds: 5.160
5532:Memsweep time in seconds: 5.190
5534:Memsweep time in seconds: 5.170
5536:Memsweep time in seconds: 5.130
5538:Memsweep time in seconds: 5.180
5540:Memsweep time in seconds: 5.210
5542:Memsweep time in seconds: 5.150
5544:Memsweep time in seconds: 5.140
5546:Memsweep time in seconds: 5.190
5548:Memsweep time in seconds: 5.150
5550:Memsweep time in seconds: 5.130
5552:Memsweep time in seconds: 5.200
5554:Memsweep time in seconds: 5.200
5556:Memsweep time in seconds: 5.190
5559:Start of One Benchmark
5614:Start of One Benchmark
5927:Start of One Benchmark
5946:Start of One Benchmark
5948:Memsweep time in seconds: 5.290
5950:Memsweep time in seconds: 5.270
5952:Memsweep time in seconds: 5.250
5954:Memsweep time in seconds: 5.250
5956:Memsweep time in seconds: 5.280
5958:Memsweep time in seconds: 5.260
5960:Memsweep time in seconds: 5.260
